ts,gpu_util,gpu_mem_used
1771715358.6636603,0.0,23260.25
1771715358.7778,0.0,23260.25
1771715358.9044597,0.0,23260.25
1771715359.0273674,0.0,23260.25
1771715359.2508385,0.0,23260.25
1771715359.351643,0.0,23260.25
1771715359.4692683,0.0,23260.25
1771715359.590408,0.0,23260.25
1771715359.7180965,0.0,23260.25
1771715359.8442817,0.0,23260.25
1771715359.9456694,0.0,23260.25
1771715360.0470746,28.0,23260.25
1771715360.1479926,28.0,23260.25
1771715360.2488124,100.0,23260.25
1771715360.3499758,100.0,23260.25
1771715360.4508069,100.0,23260.25
1771715360.5516436,100.0,23260.25
1771715360.652468,100.0,23260.25
1771715360.7533064,100.0,23260.25
1771715360.8541346,100.0,23260.25
1771715360.9549499,100.0,23260.25
1771715361.0557818,100.0,23260.25
1771715361.156606,100.0,23260.25
1771715361.2574387,100.0,23260.25
1771715361.3582573,100.0,23260.25
1771715361.4590907,100.0,23260.25
1771715361.5599475,100.0,23260.25
1771715361.6607842,22.0,23260.25
1771715361.7616308,22.0,23260.25
1771715361.865297,12.0,23260.25
1771715361.9664416,12.0,23260.25
1771715362.067612,0.0,23260.25
1771715362.1684873,0.0,23260.25
1771715362.2692945,27.0,23260.25
1771715362.3701324,27.0,23260.25
1771715362.4709704,0.0,23260.25
1771715362.5718267,0.0,23260.25
1771715362.6727061,0.0,23260.25
1771715362.7735753,0.0,23260.25
1771715362.874423,27.0,23260.25
1771715362.975262,27.0,23260.25
1771715363.076378,0.0,23260.25
1771715363.1771982,0.0,23260.25
1771715363.2782843,0.0,23260.25
1771715363.3792589,0.0,23260.25
1771715363.4801126,29.0,23260.25
1771715363.5809386,29.0,23260.25
1771715363.6819324,23.0,23260.25
1771715363.789548,12.0,23260.25
1771715363.8903542,12.0,23260.25
1771715363.9910583,0.0,23260.25
1771715364.091898,0.0,23260.25
1771715364.1928775,77.0,23260.25
1771715364.2949631,77.0,23260.25
1771715364.3958344,100.0,23260.25
1771715364.4966455,100.0,23260.25
1771715364.597422,100.0,23260.25
1771715364.6982706,100.0,23260.25
1771715364.7990305,100.0,23260.25
1771715364.89987,100.0,23260.25
1771715365.0006065,100.0,23260.25
1771715365.1017375,100.0,23260.25
1771715365.2030528,100.0,23260.25
1771715365.3042839,100.0,23260.25
1771715365.4054146,100.0,23260.25
1771715365.5065463,100.0,23260.25
1771715365.607391,100.0,23260.25
1771715365.708228,100.0,23260.25
1771715365.8090637,100.0,23260.25
1771715365.9111326,100.0,23260.25
1771715366.0123365,45.0,23260.25
1771715366.113155,45.0,23260.25
1771715366.2139845,34.0,23260.25
1771715366.3156111,34.0,23260.25
1771715366.4164684,100.0,23260.25
1771715366.5173,100.0,23260.25
1771715366.618208,100.0,23260.25
1771715366.7190645,100.0,23260.25
1771715366.819924,100.0,23260.25
1771715366.9212763,100.0,23260.25
1771715367.0225818,100.0,23260.25
1771715367.1237206,100.0,23260.25
1771715367.224836,100.0,23260.25
1771715367.3256402,100.0,23260.25
1771715367.4268363,100.0,23260.25
1771715367.5279734,100.0,23260.25
1771715367.6288326,44.0,23260.25
1771715367.729672,44.0,23260.25
1771715367.8305147,100.0,23260.25
1771715367.9313855,100.0,23260.25
1771715368.0322373,100.0,23260.25
1771715368.1331506,100.0,23260.25
1771715368.23402,100.0,23260.25
1771715368.3348925,100.0,23260.25
1771715368.4357514,100.0,23260.25
1771715368.5366585,100.0,23260.25
1771715368.63759,100.0,23260.25
1771715368.7385144,100.0,23260.25
1771715368.8393788,100.0,23260.25
1771715368.940577,100.0,23260.25
1771715369.0419173,71.0,23260.25
1771715369.1430488,71.0,23260.25
1771715369.244152,12.0,23260.25
1771715369.3449607,12.0,23260.25
1771715369.4469435,23.0,23260.25
1771715369.5477884,23.0,23260.25
1771715369.6486382,12.0,23260.25
1771715369.7494912,12.0,23260.25
1771715369.8503413,43.0,23260.25
1771715369.9512196,43.0,23260.25
1771715370.0520184,100.0,23260.25
1771715370.1528888,100.0,23260.25
1771715370.2537062,100.0,23260.25
1771715370.3546782,100.0,23260.25
1771715370.4555376,100.0,23260.25
1771715370.556418,100.0,23260.25
1771715370.6573198,100.0,23260.25
1771715370.758161,100.0,23260.25
1771715370.859654,100.0,23260.25
1771715370.9608648,100.0,23260.25
1771715371.0621083,100.0,23260.25
1771715371.1632805,100.0,23260.25
1771715371.2641504,100.0,23260.25
1771715371.365009,100.0,23260.25
1771715371.4658923,100.0,23260.25
1771715371.5667374,100.0,23260.25
1771715371.6675653,54.0,23260.25
1771715371.768442,54.0,23260.25
1771715371.869303,32.0,23260.25
1771715371.9701593,32.0,23260.25
1771715372.071,100.0,23260.25
1771715372.1719074,100.0,23260.25
1771715372.272923,100.0,23260.25
1771715372.373806,100.0,23260.25
1771715372.4746644,100.0,23260.25
1771715372.575535,100.0,23260.25
1771715372.6763837,100.0,23260.25
1771715372.7772567,100.0,23260.25
1771715372.8783035,100.0,23260.25
1771715372.9832997,100.0,23260.25
1771715373.0841303,100.0,23260.25
1771715373.184865,53.0,23260.25
1771715373.2859626,53.0,23260.25
1771715373.3866942,0.0,23260.25
1771715373.4875073,0.0,23260.25
1771715373.5882306,27.0,23260.25
1771715373.689078,27.0,23260.25
1771715373.7898247,57.0,23260.25
1771715373.8907418,57.0,23260.25
1771715373.9916468,100.0,23260.25
1771715374.092486,100.0,23260.25
1771715374.1932638,100.0,23260.25
1771715374.2940927,100.0,23260.25
1771715374.3954632,100.0,23260.25
1771715374.4962912,100.0,23260.25
1771715374.597046,100.0,23260.25
1771715374.6983242,100.0,23260.25
1771715374.7996445,100.0,23260.25
1771715374.9008417,100.0,23260.25
1771715375.0018895,32.0,23260.25
1771715375.1027443,32.0,23260.25
1771715375.203557,0.0,23260.25
1771715375.3048246,0.0,23260.25
1771715375.4056165,95.0,23260.25
1771715375.506475,95.0,23260.25
1771715375.6072996,100.0,23260.25
1771715375.7081387,100.0,23260.25
1771715375.8089538,100.0,23260.25
1771715375.9097793,100.0,23260.25
1771715376.0106196,100.0,23260.25
1771715376.1114597,100.0,23260.25
1771715376.2122796,100.0,23260.25
1771715376.3131154,100.0,23260.25
1771715376.4139404,100.0,23260.25
1771715376.5147424,100.0,23260.25
1771715376.615554,100.0,23260.25
1771715376.7164853,100.0,23260.25
1771715376.8176422,100.0,23260.25
1771715376.9188957,100.0,23260.25
1771715377.0201406,100.0,23260.25
1771715377.1212752,100.0,23260.25
1771715377.2224793,91.0,23260.25
1771715377.3234265,91.0,23260.25
1771715377.4310517,12.0,23260.25
1771715377.5318837,12.0,23260.25
1771715377.6328018,15.0,23260.25
1771715377.734085,15.0,23260.25
1771715377.8348987,20.0,23260.25
1771715377.9356973,20.0,23260.25
1771715378.0369382,0.0,23260.25
1771715378.1381567,0.0,23260.25
1771715378.239379,0.0,23260.25
1771715378.340295,0.0,23260.25
1771715378.4410956,32.0,23260.25
1771715378.5418737,32.0,23260.25
1771715378.6426945,47.0,23260.25
1771715378.7434604,47.0,23260.25
1771715378.844296,100.0,23260.25
1771715378.945063,100.0,23260.25
1771715379.0458128,100.0,23260.25
1771715379.1465707,100.0,23260.25
1771715379.2474477,100.0,23260.25
1771715379.348182,100.0,23260.25
1771715379.4490266,100.0,23260.25
1771715379.549896,100.0,23260.25
1771715379.6507466,100.0,23260.25
1771715379.751512,100.0,23260.25
1771715379.852299,100.0,23260.25
1771715379.9531589,100.0,23260.25
1771715380.0541735,100.0,23260.25
1771715380.15511,100.0,23260.25
1771715380.2564235,100.0,23260.25
1771715380.3576267,100.0,23260.25
1771715380.4588919,100.0,23260.25
1771715380.55984,100.0,23260.25
1771715380.660589,100.0,23260.25
1771715380.7614286,100.0,23260.25
1771715380.8623128,100.0,23260.25
1771715380.9630876,100.0,23260.25
1771715381.0639298,100.0,23260.25
1771715381.1647696,100.0,23260.25
1771715381.2656083,100.0,23260.25
1771715381.3664696,100.0,23260.25
1771715381.4675622,42.0,23260.25
1771715381.5683374,42.0,23260.25
1771715381.6690855,100.0,23260.25
1771715381.7698348,100.0,23260.25
1771715381.870581,100.0,23260.25
1771715381.9717789,100.0,23260.25
1771715382.072527,100.0,23260.25
1771715382.173279,100.0,23260.25
1771715382.2740078,100.0,23260.25
1771715382.3752174,100.0,23260.25
1771715382.4763272,100.0,23260.25
1771715382.5792782,100.0,23260.25
1771715382.6801436,100.0,23260.25
1771715382.7808175,100.0,23260.25
1771715382.8817573,100.0,23260.25
1771715382.98249,100.0,23260.25
1771715383.083356,100.0,23260.25
1771715383.1840906,100.0,23260.25
1771715383.2851627,100.0,23260.25
1771715383.385877,100.0,23260.25
1771715383.4867373,100.0,23260.25
1771715383.58775,100.0,23260.25
1771715383.6885905,100.0,23260.25
1771715383.7893558,100.0,23260.25
1771715383.8902097,100.0,23260.25
1771715383.9909916,18.0,23260.25
1771715384.0918193,18.0,23260.25
1771715384.1925864,25.0,23260.25
1771715384.2937152,25.0,23260.25
1771715384.3988917,12.0,23260.25
1771715384.499775,12.0,23260.25
1771715384.6008391,80.0,23260.25
1771715384.7017062,80.0,23260.25
1771715384.8025582,100.0,23260.25
1771715384.9034832,100.0,23260.25
1771715385.0043185,72.0,23260.25
1771715385.1051304,72.0,23260.25
1771715385.2059557,18.0,23260.25
1771715385.3068318,18.0,23260.25
1771715385.407675,19.0,23260.25
1771715385.5085464,19.0,23260.25
1771715385.6096215,79.0,23260.25
1771715385.7105632,79.0,23260.25
1771715385.8114903,100.0,23260.25
1771715385.9123526,100.0,23260.25
1771715386.0136745,100.0,23260.25
1771715386.1149707,100.0,23260.25
1771715386.2162173,100.0,23260.25
1771715386.3171668,100.0,23260.25
1771715386.4181309,100.0,23260.25
1771715386.5189848,100.0,23260.25
1771715386.6199172,100.0,23260.25
1771715386.7207615,100.0,23260.25
1771715386.8216267,100.0,23260.25
1771715386.9226868,100.0,23260.25
1771715387.0235205,100.0,23260.25
1771715387.1243768,100.0,23260.25
1771715387.2251444,61.0,23260.25
1771715387.325876,61.0,23260.25
