ts,gpu_util,gpu_mem_used
1771749733.2036464,0.0,23260.25
1771749733.42756,0.0,23260.25
1771749733.611905,0.0,23260.25
1771749733.7513013,0.0,23260.25
1771749733.9619682,0.0,23260.25
1771749734.0628467,0.0,23260.25
1771749734.18409,0.0,23260.25
1771749734.3096924,0.0,23260.25
1771749734.4373834,0.0,23260.25
1771749734.5590782,0.0,23260.25
1771749734.6870675,0.0,23260.25
1771749734.7879546,0.0,23260.25
1771749734.8888206,0.0,23260.25
1771749734.9896903,76.0,23260.25
1771749735.0905268,76.0,23260.25
1771749735.191506,100.0,23260.25
1771749735.2927153,100.0,23260.25
1771749735.3940063,100.0,23260.25
1771749735.4952471,100.0,23260.25
1771749735.5961404,100.0,23260.25
1771749735.6975484,100.0,23260.25
1771749735.7983875,100.0,23260.25
1771749735.8992772,100.0,23260.25
1771749736.000093,100.0,23260.25
1771749736.1009336,100.0,23260.25
1771749736.2017617,35.0,23260.25
1771749736.302624,35.0,23260.25
1771749736.4035866,19.0,23260.25
1771749736.5046644,19.0,23260.25
1771749736.6054897,0.0,23260.25
1771749736.7063513,0.0,23260.25
1771749736.8071985,4.0,23260.25
1771749736.9080455,4.0,23260.25
1771749737.0134132,23.0,23260.25
1771749737.129078,23.0,23260.25
1771749737.2299144,0.0,23260.25
1771749737.3308942,0.0,23260.25
1771749737.432269,27.0,23260.25
1771749737.536051,0.0,23260.25
1771749737.6368923,0.0,23260.25
1771749737.7409477,0.0,23260.25
1771749737.8418024,0.0,23260.25
1771749737.9425745,19.0,23260.25
1771749738.0434206,19.0,23260.25
1771749738.1442487,9.0,23260.25
1771749738.245084,9.0,23260.25
1771749738.3458436,25.0,23260.25
1771749738.44669,25.0,23260.25
1771749738.5474343,11.0,23260.25
1771749738.6483054,11.0,23260.25
1771749738.7571728,30.0,23260.25
1771749738.8580315,30.0,23260.25
1771749738.9588954,100.0,23260.25
1771749739.0597463,100.0,23260.25
1771749739.160512,100.0,23260.25
1771749739.2613509,100.0,23260.25
1771749739.3621118,100.0,23260.25
1771749739.462867,100.0,23260.25
1771749739.563703,100.0,23260.25
1771749739.6644316,100.0,23260.25
1771749739.7651815,100.0,23260.25
1771749739.8660188,100.0,23260.25
1771749739.9668777,100.0,23260.25
1771749740.0674424,100.0,23260.25
1771749740.1682994,100.0,23260.25
1771749740.2690701,100.0,23260.25
1771749740.3700228,100.0,23260.25
1771749740.4712787,100.0,23260.25
